,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
630,ac milan,sampdoria,13,6,8,9,12,15,3,3,2,4,3,2,15,12,11,4,4,8,italy,0,4,1.5,0.33,3,2,H,W,2,0
635,atalanta,parma,15,10,9,9,9,13,2,3,4,4,1,4,14,10,12,11,2,-1,italy,0,0,2.83,1.83,3,0,A,D,0,0
640,chievo,atalanta,20,17,8,8,-1,6,0,2,6,1,3,4,6,9,19,11,-13,-2,italy,0,4,1.83,0.5,1,5,A,L,0,1
655,spal,frosinone,14,19,9,9,12,2,4,0,5,0,2,7,8,6,10,24,-2,-18,italy,0,0,2.5,1.5,0,3,H,L,0,2
656,sassuolo,bologna,8,18,9,9,14,8,4,2,3,2,2,5,15,6,14,12,1,-6,italy,0,4,1.66,0.5,2,2,A,L,1,2
662,bologna,torino,16,12,8,8,7,12,2,1,5,3,3,2,4,9,10,9,-6,0,italy,3,4,2.66,1.16,2,2,A,L,0,3
665,genoa,udinese,10,17,8,9,13,8,4,1,3,2,2,5,13,8,15,13,-2,-5,italy,0,0,2.0,1.0,2,2,H,L,0,1
669,torino,fiorentina,9,6,9,9,13,14,3,4,2,4,2,3,11,15,11,7,0,8,italy,0,0,3.16,1.0,1,1,H,L,1,2
673,sampdoria,spal,14,12,6,6,8,9,2,2,2,3,0,3,9,4,3,6,6,-2,italy,0,0,3.0,0.5,2,1,A,L,1,3
682,cagliari,chievo,15,20,9,9,10,-1,2,4,3,0,2,7,7,7,10,24,-3,-17,italy,0,5,2.16,1.0,2,1,A,L,1,2
686,frosinone,empoli,19,15,9,9,1,8,0,1,8,2,2,5,4,7,23,11,-19,-4,italy,0,0,4.16,1.5,3,3,H,L,2,4
720,carpi,palermo,18,4,8,8,5,15,1,2,5,4,3,1,7,13,14,8,-7,5,italy,4,0,3.0,1.33,0,3,A,L,0,4
731,spezia,pescara,4,1,7,7,12,15,4,0,3,4,3,0,10,11,9,7,1,4,italy,0,0,3.5,1.16,1,3,A,L,2,3
733,lecce,crotone,8,12,9,9,13,11,3,4,2,3,2,4,16,12,12,13,4,-1,italy,0,0,1.8,0.8,1,0,H,L,0,2
734,salernitana,livorno,7,18,9,8,14,5,3,5,1,1,2,5,10,5,9,12,1,-7,italy,0,0,2.2,0.8,3,1,H,W,3,1
736,ascoli,hellas verona,10,3,9,10,12,17,3,3,3,5,2,3,7,12,8,10,-1,2,italy,0,4,2.83,1.16,1,0,H,W,1,0
790,crotone,padova,12,15,7,7,7,6,2,1,4,1,3,3,9,7,11,13,-2,-6,italy,0,0,2.16,1.16,2,1,H,W,2,1
804,padova,pescara,14,2,5,5,5,11,1,2,2,3,2,0,4,7,7,4,-3,3,italy,0,0,3.0,0.66,2,2,H,W,2,1
812,cittadella,foggia,5,17,8,9,14,5,4,2,2,4,1,4,10,16,5,17,5,-1,italy,0,0,3.75,2.0,1,1,H,W,3,1
820,crotone,salernitana,11,8,8,8,10,13,3,1,4,3,4,1,11,9,12,8,-1,1,italy,0,0,2.5,1.16,1,1,A,D,1,1
859,ascoli,carpi,13,16,7,8,7,6,1,4,2,1,3,4,5,7,7,13,-2,-6,italy,0,0,3.25,2.25,1,0,H,W,2,0
904,benevento,cremonese,4,9,7,7,13,11,4,1,2,2,5,0,14,8,10,4,4,4,italy,0,0,2.5,0.5,2,1,H,L,1,3
941,salernitana,perugia,9,13,8,7,11,9,2,5,1,2,3,2,7,6,7,7,0,-1,italy,0,-4,2.66,1.16,2,1,A,D,1,1
945,lecce,palermo,4,6,7,6,12,11,3,3,1,3,2,1,13,10,8,6,5,4,italy,0,0,3.83,2.0,1,2,H,D,1,1
951,cittadella,brescia,2,9,7,8,13,10,4,1,2,2,4,2,9,13,3,12,6,1,italy,0,-4,2.66,2.0,2,2,H,D,2,2
