,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff,Diff_Goal_Match
4328,eintracht frankfurt,werder bremen,4,10,1,1,3,1,1,0,0,0,1,0,2,1,0,1,2,0,germany,0,0,2.83,1.33,1,2,H,W,2,1,1,-1,2,-1
4333,tsg 1899 hoffenheim,rb leipzig,9,8,5,5,7,8,2,1,2,2,2,1,9,8,8,8,1,0,germany,3,0,4.5,1.5,1,2,A,W,5,2,1,0,1,-1
4336,arminia bielefeld,fc koln,6,1,7,7,12,16,3,3,1,5,1,1,11,18,10,11,1,7,germany,0,0,3.0,0.83,1,3,A,L,0,2,-7,-1,-6,-2
4338,sc freiburg,schalke 04,14,18,4,4,4,0,1,1,2,0,0,4,7,2,9,8,-2,-6,germany,0,0,1.5,0.5,1,0,A,L,0,2,5,1,4,1
4364,holstein kiel,sv darmstadt 98,12,10,7,7,9,10,2,3,2,3,1,3,9,8,10,9,-1,-1,germany,0,0,2.0,1.5,4,2,H,D,0,0,1,1,0,2
4365,fsv mainz,vfl wolfsburg,7,6,5,5,8,8,2,2,1,2,2,1,4,8,3,7,1,1,germany,0,-6,1.33,0.66,0,0,H,D,0,0,-4,-4,0,0
4367,hannover 96,1899 hoffenheim,16,9,5,5,2,7,0,2,3,2,1,2,4,9,9,8,-5,1,germany,0,4,2.5,1.16,1,3,H,L,1,3,-5,1,-6,-2
4372,fc nurnberg,hannover 96,14,13,3,3,2,2,0,2,1,0,2,1,2,3,3,4,-1,-1,germany,0,0,3.33,1.5,2,0,A,L,0,1,-1,-1,0,2
4375,union berlin,msv duisburg,3,18,4,4,8,0,2,2,0,0,0,4,6,0,2,7,4,-7,germany,0,0,2.66,0.5,2,2,H,D,0,0,6,-5,11,0
4385,hamburger sv am,fc st pauli am,4,10,7,7,13,12,4,1,2,4,0,3,10,12,10,14,0,-2,germany,0,0,3.16,1.16,0,0,A,D,1,1,-2,-4,2,0
4390,vfl wolfsburg,borussia monchengladbach,6,5,5,5,8,10,2,2,1,3,1,1,8,10,7,7,1,3,germany,3,0,2.66,1.66,2,2,A,L,0,3,-2,0,-2,0
4391,fc nurnberg,fortuna dusseldorf,14,13,5,5,5,5,1,2,2,1,2,2,4,5,10,6,-6,-1,germany,0,0,3.66,1.83,3,0,H,L,2,3,-1,4,-5,3
4436,fc koln,fc ingolstadt 04,1,15,6,6,13,5,4,1,1,1,2,3,16,6,10,13,6,-7,germany,0,-4,2.33,1.33,2,1,A,D,2,2,10,-3,13,1
4461,sv sandhausen,union berlin,17,3,3,3,0,7,0,0,3,2,1,0,1,6,7,2,-6,4,germany,0,4,2.66,1.0,0,0,A,L,1,2,-5,5,-10,0
4669,vfl bochum,dynamo dresden,7,3,7,7,11,12,3,2,2,4,0,3,13,10,7,7,6,3,germany,0,0,3.5,1.66,0,1,H,L,0,1,3,0,3,-1
4673,werder bremen am,fc st pauli am,3,9,10,10,18,14,5,3,2,4,2,4,15,11,9,11,6,0,germany,0,4,3.66,1.33,1,0,H,D,1,1,4,-2,6,1
