,Results_1,Results_2,League_Rank_1,League_Rank_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,H2H_Goals_Home,H2H_Goals_Away,Diff_Goal_Match
120,2,1,17,8,34,29,52,31,-18,-2,2,1,1
121,3,3,8,24,39,29,30,56,9,-27,3,3,0
122,2,0,4,8,18,26,11,23,7,3,4,1,2
123,3,1,5,11,19,14,10,12,9,2,1,3,2
124,0,1,5,3,16,26,7,3,9,23,1,3,-1
125,2,2,15,4,5,22,11,11,-6,11,1,4,0
126,0,4,14,3,10,20,17,7,-7,13,1,2,-4
127,2,2,2,8,18,13,5,14,13,-1,1,0,0
128,2,1,10,8,15,15,16,12,-1,3,2,0,1
129,2,0,11,14,13,5,12,9,1,-4,3,1,2
130,0,1,15,5,8,15,13,7,-5,8,1,1,-1
131,1,1,11,14,15,8,15,14,0,-6,0,2,0
132,5,0,1,12,21,10,3,12,18,-2,1,1,5
133,2,1,9,13,10,4,11,6,-1,-2,2,2,1
134,3,0,7,19,13,4,12,18,1,-14,0,1,3
135,1,0,12,9,10,9,13,8,-3,1,2,0,1
136,0,0,16,20,6,6,14,14,-8,-8,0,3,0
137,1,1,2,8,25,21,11,15,14,6,0,0,0
138,4,2,3,13,23,16,16,18,7,-2,0,2,2
139,1,1,4,10,32,17,22,19,10,-2,3,0,0
140,1,2,6,4,19,14,18,6,1,8,0,0,-1
141,1,0,7,24,16,11,12,23,4,-12,1,4,1
142,1,1,6,16,18,9,12,10,6,-1,5,0,0
143,0,2,22,3,8,12,14,4,-6,8,2,2,-2
144,3,3,15,24,16,11,15,21,1,-10,1,1,0
145,0,0,8,7,14,10,12,6,2,4,2,3,0
146,2,0,5,24,23,11,11,20,12,-9,0,1,2
147,0,0,1,20,16,10,7,20,9,-10,0,1,0
148,2,1,8,2,15,21,13,13,2,8,1,1,1
149,2,0,17,14,14,10,18,12,-4,-2,2,2,2
150,0,1,21,2,10,20,17,8,-7,12,0,0,-1
151,1,1,2,5,16,21,7,15,9,6,2,1,0
152,0,1,18,23,11,11,19,21,-8,-10,1,0,-1
153,3,0,20,24,16,11,23,22,-7,-11,2,2,3
154,2,0,11,22,15,19,11,23,4,-4,2,0,2
155,1,4,3,6,31,17,18,14,13,3,1,2,-3
156,4,3,22,15,19,20,25,15,-6,5,1,1,1
157,1,1,24,22,10,18,19,24,-9,-6,1,2,0
158,1,2,20,1,9,21,16,10,-7,11,2,1,-1
159,1,0,6,15,19,23,17,19,2,4,1,0,1
160,1,1,19,21,23,10,28,20,-5,-10,1,1,0
161,1,0,13,16,14,22,19,22,-5,0,3,1,1
162,0,3,18,12,11,18,16,15,-5,3,3,2,-3
163,2,2,1,14,24,16,11,17,13,-1,1,1,0
164,2,1,14,19,14,18,12,21,2,-3,0,2,1
165,3,1,15,7,12,16,10,16,2,0,1,3,2
166,0,2,23,18,11,9,18,19,-7,-10,0,0,-2
167,1,0,12,3,14,31,16,17,-2,14,3,2,1
168,0,1,7,13,20,16,14,14,6,2,1,0,-1
169,0,1,20,19,14,7,15,18,-1,-11,1,0,-1
170,1,0,8,3,13,18,11,9,2,9,2,2,1
171,1,0,16,1,11,20,9,7,2,13,1,2,1
172,1,0,3,4,19,12,10,9,9,3,1,3,1
173,0,3,17,11,16,18,14,10,2,8,4,3,-3
174,1,0,2,13,31,21,20,14,11,7,1,0,1
175,1,0,13,15,14,22,9,29,5,-7,2,3,1
176,3,0,16,11,11,20,19,20,-8,0,4,2,3
177,2,1,22,8,14,15,22,16,-8,-1,0,0,1
178,2,1,6,13,17,21,16,20,1,1,3,1,1
179,2,5,4,9,9,14,8,12,1,2,0,2,-3
180,3,1,21,20,15,13,20,19,-5,-6,0,2,2
181,1,0,15,11,20,12,20,9,0,3,0,1,1
182,1,1,19,16,9,10,19,15,-10,-5,1,2,0
183,1,2,6,10,17,15,13,15,4,0,0,0,-1
184,2,1,10,4,14,22,15,9,-1,13,1,2,1
185,0,5,5,1,2,18,2,3,0,15,1,1,-5
186,3,2,4,8,23,17,7,15,16,2,2,0,1
187,1,0,14,17,10,14,13,18,-3,-4,1,0,1
188,2,6,16,1,13,27,19,10,-6,17,0,4,-4
189,0,0,17,18,15,9,23,11,-8,-2,2,3,0
190,1,1,6,24,18,7,6,19,12,-12,0,0,0
191,1,3,20,7,10,14,20,8,-10,6,2,5,-2
192,1,1,5,11,25,11,14,12,11,-1,3,0,0
193,3,1,1,8,33,19,4,18,29,1,2,3,2
194,0,0,2,9,27,19,8,15,19,4,0,0,0
195,3,1,3,14,24,7,7,13,17,-6,2,1,2
196,0,1,14,4,8,19,16,10,-8,9,0,1,-1
197,2,0,3,20,21,11,5,29,16,-18,3,2,2
198,6,1,2,16,27,6,3,14,24,-8,1,0,5
199,0,2,11,20,12,6,13,22,-1,-16,0,1,-2
200,0,4,13,1,14,36,18,5,-4,31,1,4,-4
201,2,3,10,5,9,16,9,8,0,8,1,1,-1
202,1,2,7,5,21,26,16,15,5,11,2,1,-1
203,3,1,4,3,20,27,10,8,10,19,3,1,2
204,1,0,9,18,19,11,15,25,4,-14,2,1,1
